,career_level,hard_skills,id,soft_skills,text,title,url
88,peak,[],88,[],Jet2.com is looking for someone with several years of hands-on coding and test automation experience.  The successful candidate will also be able to lead and motivate and enjoy coaching within the role.,Test Automation Architect,https://leeds.tech/job/test-automation-architect/
89,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'html', 'reactjs|react.js', 'css', 'react']",89,['communication'],"You have excellent communication skills, including the ability to enter discussions on the business case for UI/UX decisions.  Your experience will include VueJS, React JS or similar and you will have an outstanding knowledge of HTML, CSS and Javascript.",Front End Developer,https://leeds.tech/job/front-end-developer/
90,,[],90,"['confident', 'creative', 'communicator', 'listener']","Apply only if you are positive, a confident contributor without ego, a good listener and a great communicator with a creative way with words.",Digital Marketing Executive,https://leeds.tech/job/digital-marketing-executive-2/
91,,"['https', 'http', 'unix', 'bash', 'linux', 'python', 'lua']",91,['communication'],"You will have knowledge of a minimum of 2 programming/scripting languages, with Python, Bash and Lua preferred.  You will have experience with Unix/Linux and be familiar with communication protocol/technologies.  HTTP/HTTPS is essential.",Non-functional Tester,https://leeds.tech/job/non-functional-tester/
92,,['gradle'],92,[],"You will have strong knowledge of:  Android SK, different versions and screen sizes; Android UI design principles, patterns and best practices, and good knowledge of Android Studio and build system Gradle.",Android Developer,https://leeds.tech/job/android-developer/
93,,[],93,['time management'],"A minimum of 3 years' commercial experience with WordPress is required, together with excellent time management skills, the ability to work independently as well as within a team, and experience with testing across a range of tools and platforms.",WordPress Developer,https://leeds.tech/job/wordpress-developer-3/
94,,[],94,['time management'],"Creode is looking for someone with at least one year's experience in a commercial environment with Magento, who has excellent time management skills, can work either independently or as part of a team and is well versed with testing across a range of tools and platforms.",Magento Developer,https://leeds.tech/job/magento-developer-4/
95,,['git'],95,['time management'],"You will have at least 3 years' commercial web development experience, alongside a working knowledge of Git, a range of testing experience and excellent time management skills.",PHP Developer,https://leeds.tech/job/php-developer-5/
96,junior,"['javascript|js|es6|ecmascript|ecmascript7', 'csharp|c#', 'angular|angularjs|angular.js', 'jquery', 'angular', 'c', 'sql']",96,[],"Applicants will have experience and knowledge of developing apps using .NET 4.6.2 (C#), Web API, Angular JS, JQuery, Entity Framework and T-SQL.",Junior Software Engineer,https://leeds.tech/job/junior-software-engineer/
97,,[],97,"['confident', 'collaboration']","You will be a certified business analyst (ISEB, BCS, CBAP, CCBA) adept at stakeholder management and have relevant practical experience.  This will include being a confident stakeholder manager and promoting collaboration.",Business Analyst,https://leeds.tech/job/business-analyst-j2/
98,,[],98,['critical'],"Your experience will cover:  a role as team manager in an ITIL based environment, high availability ecommerce and critical operations systems with geographically spread data centres, SAN storage systems and systems management.",IT Technical Specialist,https://leeds.tech/job/it-technical-specialist/
99,mid-level,"['jira', 'html', 'css']",99,['communication'],"The essentials for this post are:  A minimum 1 year of experience in a digital role, experience with project management software such as Basecamp, Jira, Wrike etc, familiarity with Content Management systems and HTML/CSS and communication and team management skills.
Qualification in Computer Science, Digital Marketing or relevant field",Digital Project Manager,https://leeds.tech/job/digital-project-manager/
100,,['.net|dotnet|dotnetcore'],100,[],"You will have previous experience of working within a helpdesk environment and experience in taking ownership of issues from being reported through to final resolution. A good working knowledge of ITIL would also be very useful, along with networking knowledge, including DNS/DHCP/Wireless/Printers/Scanners/Phones/AV/VC equipment.",EUC Infrastructure Analyst,https://leeds.tech/job/euc-infrastructure-analyst/
101,,"['photoshop', 'illustrator', 'indesign', 'typography', 'photography']",101,[],"We are seeking someone with a graphic design-related qualification and a minimum of three years' experience, preferably in an agency.  Applicants should also be able to use typography and photography creatively and Photoshop, Illustrator and InDesign intelligently.  It is also important to understand the use of print techniques.",Graphic Designer,https://leeds.tech/job/graphic-designer/
102,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'php', 'html', 'svn', 'mysql', 'jquery', 'linux', 'git', 'sass', 'mvc', 'css']",102,['creative'],"You should be an expert PHP developer, adept at creating efficient bespoke functionality, whilst also happy to jump into the creative front end using CSS3 and HTML5 when required.  Essential knowledge for this post is as follows:  PHP (OOP), MVC Framework (Laravel for our larger sites), MySQL, Git / SVN, Linux, Javascript (Inc. jQuery) and CSS (preferably SASS).",Back End Web Developer,https://leeds.tech/job/back-end-web-developer/
103,,[],103,['communicate'],"You will have at least two years of experience, be hungry to learn and able to communicate tech subjects to people with varying levels of knowledge of digital.",Front End Web Developer,https://leeds.tech/job/front-end-web-developer/
104,senior,"['java', 'excel']",104,[],William Hill is looking for a commercially experienced Java Developer  who understands how businesses work and wants to excel.,Senior Java Developer,https://leeds.tech/job/senior-java-developer/
105,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'html', 'react native', 'reactjs|react.js', 'git', 'css', 'react']",105,['communication'],"Skills required include:  HTML/CSS, Javascript ES6, a thorough understanding of React Native / React.JS and its core principles,
familiarity with source control using Git and strong communication skills as well as the ability to work well within a team
",React Native iOS/Android Mobile Developer,https://leeds.tech/job/react-native-ios-android-mobile-developer/
106,,"['javascript', 'nginx', 'javascript|js|es6|ecmascript|ecmascript7', 'angular|angularjs|angular.js', 'npm', 'angular', 'webpack', 'reactjs|react.js', 'git', 'aws|amazon web services', 'mongodb|mongo', 'react', 'node.js|nodejs']",106,[],"Skills required include:  Javascript ES6, React.JS, Angular, Babel, Webpack, NPM RethinkDB, MongoDB Node.JS, Express NGINX
Amazon Web Services and familiarity with source control using GIT.",Full Stack JavaScript Developer,https://leeds.tech/job/23181/
107,,['agile'],107,[],"You will be an expert in developing software using agile methodologies.  In addition, you will take a disciplined, long-term approach to programme support, metrics and documentation.",Technical Programme Manager,https://leeds.tech/job/technical-programme-manager/
108,,['excel'],108,"['confident', 'writing']","Applicants will have at least two years' experience in SEO/digital marketing and be confident in carrying out tech SEO audits.  Also required is advanced knowledge of Word, Excel and PowerPoint, together with strong writing skills and a track record of ROI via digital strategy.",Digital Marketing Executive,https://leeds.tech/job/digital-marketing-executive/
109,,[],109,['communication'],"You will have experience of working with social media platforms, together with excellent written communication skills.  I deally, you are currently working in PR.",PR and Social Executive,https://leeds.tech/job/pr-social-executive/
110,mid-level,[],110,[],"You will have experience of managing agency bespoke projects, including the entire lifecycle.  You will be comfortable working with tech architects and communicating with clients.",Technical Project Manager,https://leeds.tech/job/technical-project-manager-4/
111,,[],111,[],"Candidates will have a clear understanding of the digital marketplace and key solutions, such as web design and development, CMS, ecommerce, SEO and social meida.",Digital Account Executive,https://leeds.tech/job/digital-account-executive/
112,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'php', 'html', 'mysql', 'jquery', 'git', 'css']",112,[],"You will need to have extensive knowledge of PHP/MySQL and HTML 5/CSS.  You will also need knowledge of JavaScript/jQuery and GIT, and have the ability to write clean, re-usable OOP code.",PHP Developer,https://leeds.tech/job/php-developer-4/
113,,"['cocoon', 'linux', 'python']",113,[],Cocoon is seeking a skilled developer with experience in either Google's Go Language or Python.  Cross-training will be available.  Candidates should also have experience of Linux.,Data-literate Software Developer (Golang/Python),https://leeds.tech/job/data-literate-software-developer-golang-python/
114,,[],114,['analytical'],"Experience with managing PPC campaigns across multiple sectors is important, as well as essential numerical, analytical and written skills.  Candidates should also be familiar with Google Analytics and similar statistical packages.",PPC Analyst,https://leeds.tech/job/ppc-analyst/
115,,[],115,"['communication', 'leader']","You should have the ITIL qualification, be an experienced team leader as well as having managed third parties, and you should demonstrate excellent communication skills for this post.",Technical Service Delivery Manager,https://leeds.tech/job/technical-service-delivery-manager/
116,,['agile'],116,[],"Sky is looking for someone with experience of a range of agile analysis techniques, awareness of app and web development techniques and used to handling non-routine queries.  Also, experience is required with validation of business assumptions and requirements.",Business Analyst,https://leeds.tech/job/business-analyst-4/
117,senior,[],117,[],"We are seeking a first class coder with at least five years in a development role.  Hopefully, applicants will have at least a 2.1 in computer science or engineerings, and experience with managing a team.",Senior Developer,https://leeds.tech/job/23137/
118,,[],118,[],"You will have extensive iOS development experience with Functional Swift (3.2+) X Code, Cocoa Touch and Architecture Patterns.  You have applied best practice and multiple software development methodologies as well as applied knowledge of design patterns and SOLID principles - and much more...........",iOS Developer,https://leeds.tech/job/ios-developer/
119,senior,[],119,['communication'],"Applicants must have a minimum of 4 years of marketing experience, strong communication skills and excellent copywriting skills, together with an understanding of marketing analytics and metrics.  You must also be comfortable with adapting to new software and marketing technology.",Senior Digital Marketing Executive,https://leeds.tech/job/senior-digital-marketing-executive/
120,,"['cucumber|cucumberbdd', 'java', 'selenium']",120,['mentoring'],"You are highly experienced with excellent Java skills, together with Selenium and some of: Soap CI, API testing, Postman, Gherkin and Cucumber.  You will be competent act as tech authority and to carry out mentoring of junior staff.",Lead Software Test Engineer,https://leeds.tech/job/lead-software-test-engineer/
121,,[],121,['leadership'],"Seeking someone to take technical leadership to ensure the correct approach, scope and technical environment.  The Software Test Engineer plans, executes and delivers all assigned test activities to the timescale required.",Software Test Engineer,https://leeds.tech/job/software-test-engineer/
122,,[],122,"['organised', 'communicator']","You must be a true expert in all things Wordpress, as well as being well organised and a good communicator, adept at providing feedback through project management systems.",WordPress Developer,https://leeds.tech/job/wordpress-developer-2/
123,,[],123,[],You will have gained digital experience in an agency environment.  You have developed positive working relationships with clients and colleagues and have managed web builds.  You are familiar with project management tools.,Digital Account Manager,https://leeds.tech/job/digital-account-manager-2/
124,,[],124,[],"As our next API & Micro services Software Development Engineer you’ll design, build, test, implement and support Digital technologies being introduced to achieve a major re-platforming from the current website monolith to an API and micro services architecture. You’ll join a likeminded team in our Leeds based Technology Delivery function.",Software Development Engineer – API & Microservices,https://leeds.tech/job/software-development-engineer-api-microservices/
125,,['provisioning'],125,[],"As our next Service Lead in Data Provisioning you’ll lead the development team to build, implement and support our IT systems to better meet the needs of our members. You’ll join a likeminded team in our Leeds based Technology Delivery function.",Service Lead – Data Provisioning,https://leeds.tech/job/service-lead-data-provisioning/
126,senior,"['javascript', 'nginx', 'javascript|js|es6|ecmascript|ecmascript7', 'php', 'html', 'mysql', 'linux', 'git', 'css']",126,[],"You will have:  3 years of commercial software Development.  Deployment Scripting across development, staging and production environments.
Desirable additional skills are:  Experience of any PHP based framework  Linux, Nginx    Git-based source control    MySQL   JavaScript / HTML / CSS  Containers, Infrastructure as Code practices",Senior PHP Software Developer,https://leeds.tech/job/senior-php-software-developer/
127,,[],127,"['communication', 'analytical', 'passion', 'positive attitude', 'proactive', 'problem-solving']","Applicants will have:  excellent communication skills and the ability to work both independently and within a team;
analytical and problem-solving skills and be comfortable working on multiple projects in a fast ­paced environment.
The successful applicant will also have a proactive and positive attitude as well as a passion for UX and a thirst to improve  knowledge and skillset.",Entry Level UX Analyst,https://leeds.tech/job/entry-level-ux-analyst/
128,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'csharp|c#', 'java', 'html', 'c', 'css', 'sql']",128,['mentoring'],"Skills and Experience:  Working knowledge of HTML, CSS and JS - gained through completing front-end development projects in a commercial setting.  Working knowledge of SQL- Ideally with experience of commercial use.  Experience operating as a senior-level Developer with strong commercial experience in C#, Java or Javascript.  Working knowledge of IT operations within a commercial environment, ideally with some hands-on System Administration experience.  Proven experience of training or mentoring junior staff
",Technical Trainer (Software Development and Testing),https://leeds.tech/job/technical-trainer-software-development-and-testing/
129,junior,[],129,['presentation'],"Applicants will be able to demonstrate talents as follows: Design of brochure websites, bespoke web applications, social media assets (GIFs, videos).  Production of interactive online mockups.  Presentation of designs as sketches, concepts or production-ready artwork.  ",Junior Digital Designer,https://leeds.tech/job/junior-digital-designer-2/
130,,[],130,"['presentation', 'confident', 'decisive', 'calm', 'client facing']","Agency strategy experience   :  Excellent client facing and presentation skills   :  Confident with financials with a commercial outlook 
Resourceful, tenacious and capable of being calm and decisive under pressure   :  Ability to work on your own and in a team
",Associate Director SEO,https://leeds.tech/job/associate-director-seo/
131,,[],131,"['curiosity', 'kind', 'positive attitude']","You could be a designer in an agency, consultant or work in an in-house team. For us, it’s not just about having the right kind of professional experience, it’s as much about having a positive attitude, lots of curiosity and an ability to pick things up quickly. ",Product Designer,https://leeds.tech/job/product-designer/
132,junior,['excel'],132,"['inquisitive', 'analyse data', 'curiosity', 'working with numbers', 'logical', 'eye for detail', 'strategic', 'compelling']","These are some of the attributes we are looking for:  An inquisitive curiosity that challenges the status quo and common assumptions. The need to know about new developments in methods, industry thinking and trends in our clients’ markets.  A strategic mind - you’re someone who does not look at facts and figures in isolation but as part of wider campaign plan.  Experience and are highly capable working with numbers and in using Excel. The ability to analyse data, extract key findings and present in a compelling way. Logical in approach with a keen eye for detail. The ability to command the respect of Savvy’s people and client stakeholders, at all levels of seniority.",Insight Executive – Graduate Role,https://leeds.tech/job/insight-executive-graduate-role/
133,,[],133,"['creative', 'team player', 'shares ideas', 'passionate']"," We’re looking for a passionate front-end developer to join our friendly team. Ideally, you’ll love using the latest web technologies and cutting edge browser features to create exciting, responsive and accessible front-ends.  You'll need the strong core skills listed, but most importantly we’re looking for a team player – someone who wants to work closely with the existing front-end, back-end and creative teams. We want someone who shares ideas, helps improves the process as a whole and has the motivation to create outstanding websites.",Front-end Developer,https://leeds.tech/job/front-end-developer-5/
134,,[],134,"['communication', 'writing', 'attention to detail']","Significant experience:  Previous experience as a Healthcare Software Analyst.  Hands-on knowledge of how to elicit customer requirements and analyse workflows and usage data, in order to define business requirements and use cases.  Extensive experience of writing functional specifications for new features (not simply enhancements to existing features) for a major software system
Exceptional verbal and written communication.  Good attention to detail.",Clinical System Analyst,https://leeds.tech/job/clinical-system-analyst/
135,senior,[],135,"['passion', 'eye for detail']","We need someone who is just as comfortable working on their own as they are in a team; someone with an eye for detail and a passion for producing quality work, with at least 5 years’ experience developing within the .NET framework. If that’s you, drop us your CV.",Senior Back-end .NET Developer,https://leeds.tech/job/senior-back-end-net-developer/
136,,[],136,['reporting'],"The job includes:  creating and maintaining SEO strategies for clients, analysing and reporting on the impact of campaigns, algorithm changes etc., identifying areas of websites that need improvement, budget management, attending meetings with clients and reporting on KPIs, monitoring the SEO community for changes and trends to feed back into the team as a whole and creating and monitoring a technical best practice guide for the technical build and structure of web projects.  The right attitude is the most important attribute.",SEO Strategist,https://leeds.tech/job/seo-strategist-2/
137,,['java'],137,"['communication', 'analytical', 'passion', 'problem-solving']","We are looking for people with strong track records of Java development in a commercial environment and a wealth of technical knowledge and experience, together with a passion for programming and strong problem-solving, analytical and communication skills.",Java Developers – Multiple Vacancies,https://leeds.tech/job/java-developers-multiple-vacancies/
138,,[],138,['comprehensive'],"You will have at least 3 years of account management experience and a comprehensive understanding of a how a digital agency resources and delivers projects.  You possess a strong grasp of search, advertising and content marketing, together with an affinity with clients.",Digital Account Manager,https://leeds.tech/job/digital-account-manager/
139,,['integrity'],139,['problem-solving'],"cap hpi is looking for someone with proven experience in a similar sales environment, with a track record of developing and growing existing relationships with integrity.  Strong negotiating and problem-solving skills are also essential to this role.",Account Manager,https://leeds.tech/job/account-manager-2/
140,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'php', 'html', 'linux', 'css']",140,[],"Wish Digital is looking for a competent, high quality coder, preferably with Magento/WordPress as well as PHP, HTML/CSS, JavaScript and Linux server with hosting environment management.",Website Developer,https://leeds.tech/job/website-developer/
141,senior,[],141,"['presentation', 'analytical', 'strategic']","epiphany is looking for someone with several years' agency experience, who has an in-depth knowledge of search marketing, project management, people management and financial management, together with strong presentation skills, strategic thinking and analytical skills.",Senior SEO Strategist,https://leeds.tech/job/senior-seo-strategist/
142,,['iot'],142,"['organisation', 'talented']","Do you enjoy asking the right questions like “what outcomes do your customers want to realise?” and “what goals is your organisation trying to achieve?” Are you seeing digital as data, machine learning, VR and elements of IOT rather than just tablets or mobile? Would you enjoy working in a multi-disciplined team of talented engineers?
",Business Analyst,https://leeds.tech/job/business-analyst-3/
143,,"['javascript|js|es6|ecmascript|ecmascript7', 'csharp|c#', 'c']",143,[],"BJSS is seeking excellent automation tests with strong C# development skills and/or Open Source, together with experience in a client-facing role or else the desire to adopt such a role.",Software Developer in Test (SDET),https://leeds.tech/job/sofware-developer-test-sdet/
144,,[],144,[],"You will have an understanding of website development and digital marketing.  You may have an IT or business related degree or be an existing project manager, perhaps on the client side.",Digital Project Manger,https://leeds.tech/job/20327/
145,,[],145,[],You will either be a recent graduate with an impressive portfolio or else you will be working in digital design.  You will be competent across a wide range of design tools.,Digital Designer,https://leeds.tech/job/digital-designer-2/
146,senior,"['csharp|c#', 'sqlserver|sql server|sqldatatools', 'asp', '.net|dotnet|dotnetcore', 'c', 'mvc', 'sql']",146,[],"It is essential that you have 4 years of commercial software development experience on Microsoft + MVC, C# ASP.NET.  You will also referably have experiences with MS SQL Server 2012+ T-SQL, stored procedures.",Senior .NET Developer,https://leeds.tech/job/senior-net-developer-2/
147,,"['sqlserver|sql server|sqldatatools', 'sql']",147,['enthusiastic'],Medisoft seeks a SQL server expert who is both intuitive and enthusiastic about IT and the opportunity to support the UK's leading system for eye care.,Software Implementation Engineer,https://leeds.tech/job/software-implementation-engineer/
148,junior,[],148,['problem-solving'],"Zolv is looking for a graduate with a 2.1 in a related discipline, who is willing to gain Microsoft qualifications (with Company support).
You should have a talent for problem-solving, a knowledge of web/internet best practice and be methodical and friendly.",Graduate Developer,https://leeds.tech/job/graduate-developer/
149,junior,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'csharp|c#', 'html', 'asp', '.net|dotnet|dotnetcore', 'c', 'css', 'sql']",149,[],"You will have at least one year of experience with web apps in the Microsoft.NET framework, together with the essential skills of C#, ASP.NET, Javascript, HTML/CSS, SQL, LINQ and Source Control.",Graduate/Junior Software Developer,https://leeds.tech/job/graduatejunior-software-developer/
150,mid-level,[],150,[],Rejuvenate is seeking a Technical Project Manager to manage the complete life cycle within timeframes and between internal teams and clients.,Technical Project Manager,https://leeds.tech/job/technical-project-manager-2/
151,,[],151,['communicate'],"You will have excellent English, communicate well, have team spirit, be able to prioritise and want to learn, and have an existing interest in social media and marketing.",Social Media Geek,https://leeds.tech/job/social-media-geek/
152,,[],152,"['empathy', 'passion', 'problem-solving']","These roles are entry level.  Applicants should have a passion for UX, a preference for research, strong interpersonal skills such as empathy and listening, problem-solving and advanced Microsoft skills.",UX Practitioners,https://leeds.tech/job/usability-ux-practitioners/
153,mid-level,[],153,['organised'],"Elementary is seeking a Project Manager who is used to a fast-paced working environment and loves web design and digital marketing.  You should be extremely well organised, a good learner, and ready to make people smile.",Project Manager,https://leeds.tech/job/project-manager/
154,,[],154,['confident'],"Dedicated, 100% confident Magento developers are required.  Recruiters and freelancers are welcome to get in touch.",Magento Developer,https://leeds.tech/job/magento-developer/
155,,[],155,[],"Whilst the office is in Ilkley, you would work wherever you wish.  Freelancers are also welcome to apply.",WordPress Developer,https://leeds.tech/job/wordpress-developer/
156,,['excel'],156,[],"You will have a desire for a career in digital marketing, coupled with basic experience and understanding of SEO and of internet technologies.  You are a self-starter with a good working knowledge of Excel and already used to a fast-paced working environment.",SEO Executive,https://leeds.tech/job/seo-executive/
157,mid-level,[],157,"['writing', 'team player']","You have at least 3 years of SEO experience which includes SEO technical audits.  You have advanced skills in Microsoft Office and strong writing skills, including reports.  You are a team player and a multi-tasker with a track record of ROI via SEO strategy.",SEO Lead,https://leeds.tech/job/seo-lead/
158,,[],158,[],"You will have at least 5 years of SEO experience, which will include strong knowledge and understanding of everything SEO, a high level of technical proficiency, experience of managing and implementation of strategy on a large scale, and advanced skills in Microsoft Office.  Experience of managing a team.",SEO Manager,https://leeds.tech/job/17699/
159,,[],159,[],"Even if you feel you are not a perfect fit for this vacancy, emis would like the opportunity to talk to you.",Developer,https://leeds.tech/job/developer-1/
160,,"['stack', 'scrum']",160,[],"Platform and full stack engineers, scrum masters and architects should get in touch with Infinity Works to explore careers opportunities.","Platform Engineers, Full Stack Engineers, Scrum Masters, Architects",https://leeds.tech/job/platform-engineers-full-stack-engineers-scrum-masters-architects/
161,,[],161,['all-rounder'],"You will have a minimum of 5 years' in technical support and be a good all-rounder, with excellent knowledge of desktop PCs  and operating systems,  networks and firewalls, anti-virus management and roll-out, back-up technology, IT security and server set-up.",Second Line Technical Support,https://leeds.tech/job/second-line-technical-support/
162,,[],162,['passionate'],"With over 1 year of experience in sales or account management in digital/tech, you will be willing to travel, be a relationship builder at all levels, passionate about the North and its future and have commercial acumen and negotiating skills.",Community Engagement Manager,https://leeds.tech/job/partnerships-manager/
163,,"['windows', 'linux', '.net|dotnet|dotnetcore']",163,['organisation'],"You are experienced in Linux environments and administration as well as Windows.  You have computer networking knowledge and the ability to write and present documentation on projects and systems, working well both individually and as part of a team, with good organisation skills.",Technical Operations Engineer,https://leeds.tech/job/technical-operations-engineer-2/
164,,[],164,['team player'],"You will be an existing PPC executive looking to build a career.  You'll be fast-thinking, a quick learner who works well under pressure.  You'll be a team player as well as an independent worker, positive, professional, articulate, have basic Microsoft Office skills and be familiar with desktop editors for Adwords and Bing.",PPC Executive,https://leeds.tech/job/ppc-executive/
165,,['python'],165,['communication'],"All software engineers have core responsibilities, some of which are:  technical aspects of a project, analysis and design, clear communication with clients, construction and testing of software components, QA and practical experience of software development in Python.",Software Engineer: Python,https://leeds.tech/job/software-engineer-python/
166,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'csharp|c#', 'c']",166,['diverse'],"BJSS is looking for an experienced developer and multi-faceted technologist who is excited about C# and JavaScript; who is wanting to work on diverse projects, delivering sometimes original solutions to clients across various sectors.",Software Engineer: C#/.NET,https://leeds.tech/job/software-engineer-c-net/
167,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'agile', 'html']",167,[],"End to end software project delivery using BJSS Enterprise Agile or the client's preferred method.  Analysis and design, construction and testing - experience of web/app containers, NoSQL technologies, persistence frameworks, HTML5 and JavaScript and more. ",Software Engineer: Java,https://leeds.tech/job/software-engineer-java/
168,,[],168,"['communication', 'organisation']","You will be the primary contact across all stakeholders, and have expert knowledge of your product/s, ensuring fitness for purpose and conformity with legislation.  Your organisation and communication skills will be strong, with the ability to prioritise, influence and solve problems.",Product Owner,https://leeds.tech/job/callcredit/
169,,"['windows', 'linux', '.net|dotnet|dotnetcore']",169,"['communication', 'organisation']","Experience in Linux and Windows is required, together with a knowledge of computer networking, good organisation and communication skills and working within a team or independently.  Out of hours and week-end working will be required.",Technical Operations Engineer,https://leeds.tech/job/technical-operations-engineer/
170,,['linux'],170,"['writing', 'perfectionist']",We are looking for a perfectionist with over 3 years' experience of writing web applications and with a strong Linux knowledge.,JS Developer,https://leeds.tech/job/js-developer/
171,,"['php', 'github', 'drupal', 'mysql', 'symfony']",171,[],"2+ years PHP experience  :  Experience with popular Open Source CMS, e.g. Drupal  :  Experience with popular PHP frameworks e.g. Symfony, Laravel  :  Github and / or Bitbucket experience  :  MySQL experience  :  Object-Oriented Programming experience",Mid Weight Backend Developer,https://leeds.tech/job/mid-weight-backend-developer/
172,,[],172,"['creative', 'passion', 'problem solver']","We're looking for:  A creative thinker and problem solver. We love to push what we do and challenge preconceptions of clients to solve problems in new ways.  • An ability to work independently and in partnership with the team. We’re a close knit group who need to juggle a lot and manage our time well.  • An understanding that a solution must work, not just look great. We care about our clients’ consumers, the right person for us will get stuck into the why, not just the what.  • A passion for design that goes beyond one discipline.  • Previous professional design experience, whether that’s a year or two in an agency, an internship, or freelance.",Creative Designer,https://leeds.tech/job/creative-designer/
173,,[],173,"['creative', 'passion', 'problem solver']","We're looking for a creative thinker and problem solver. We love to push what we do and challenge preconceptions of clients to solve problems in new ways.  An understanding of the limitations and possibilities with web platforms of today.  An ability to work independently and in partnership with the team. We’re a close-knit group who need to juggle a lot and manage our time well.
An understanding that a solution must work, not just look great. We care about our clients’ consumers - the right person for us will get stuck into the why, not just the what.  A passion for design that goes beyond one discipline.  Previous professional design experience, whether that’s a year or two in an agency, an internship, or freelance.",Web Designer,https://leeds.tech/job/web-designer/
174,,['excel'],174,"['motivated', 'organised']","Ideally, you will have:  HND in Electronics  :  The ability to read an electronic schematic (circuit diagram)  :  Experience in usage of electronic test equipment, e.g. PSUs, DVMs, Oscilloscopes  :  The ability to use software tools to update firmware on electronic devices.
A methodical approach  :  Good communications skills  :  A self-motivated, well organised, and adaptable approach  :  Experience of Microsoft Office tools, Word, Excel etc.  :  A clean driving licence.",Validation Technician,https://leeds.tech/job/validation-technician/
175,,"['sqlserver|sql server|sqldatatools', 'sql', 'version control']",175,['curiosity'],"Essential for this post:  Good, commercial knowledge of SQL.   Desire to maintain high quality and good practices.  Proven experience with developing data solutions using SSIS and SQL Server.  A curiosity for new technologies and techniques.  A good understanding of version control practices.  Familiarity with ETL concepts",Engineer – Database,https://leeds.tech/job/engineer-database/
176,,[],176,"['confident', 'organisation', 'attention to detail']","We’re looking for somebody who is confident working with stakeholders at varying levels in order to achieve results. Naturally, you will have exposure to project planning, be familiar with coordinating projects across multiple teams and departments, and managing multiple stakeholders. You will have high attention to detail, and you must have impeccable organisation skills that you will be able to use to manage multiple complex projects.  Any technical/digital project planning experience is desirable but not essential.",Project Planner and Facilitator,https://leeds.tech/job/project-planner-and-facilitator/
177,,"['csharp|c#', 'stack', 'c']",177,[]," Hands-on experience of full project life cycle from initial analysis and design through to coding, testing and maintenance.   A good grasp of object-oriented programming and all current coding guidelines around C#.NET.   In-depth knowledge of development environment, tools and external libraries within the .NET technology stack.",Full Stack Developer,https://leeds.tech/job/full-stack-developer-2/
178,senior,"['javascript', 'nginx', 'javascript|js|es6|ecmascript|ecmascript7', 'php', 'html', 'mysql', 'linux', 'git', 'css']",178,[],"Skills that are required:  3 years of commercial software Development.  In-depth knowledge of Magento framework, System Architecture, Themes, Modules, Functionality and Configuration.  Deployment Scripting across development, staging and production environments.  Skills that are desired:  Experience of any PHP based framework  Linux, Nginx  Git-based source contro  MySQL
JavaScript / HTML / CSS.  Containers, Infrastructure as Code practices",Senior Magento Software Developer,https://leeds.tech/job/senior-magento-software-developer/
179,,['c'],179,"['customer service', 'passion', 'maths', 'driven']","What you'll bring:  A passion for quality driven customer service.  Experience of working in a service desk or call centre environment
GCSE English and Maths grade C (or equivalent) - Essential.  A degree in any discipline - Desirable
Note this role carries out of hours (on call)  responsibilities.",Technician – Client Service Desk,https://leeds.tech/job/technician-client-service-desk/
180,junior,[],180,['enthusiasm'],"The ideal candidate will be educated to PR or journalism degree level. Any in-house or agency PR experience is beneficial but not essential.  Most importantly, we’re looking for someone with bags of enthusiasm, an appetite to develop their PR skills and a desire to drive results.

",Junior Account Executive,https://leeds.tech/job/junior-account-executive/
181,senior,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'html', '.net|dotnet|dotnetcore']",181,[],"Technical SEO skills required:    Extensive understanding of on-page SEO and site architecture.  Deep understanding of search engines and web crawlers (an ability to understand server log files).  Understanding of how the web works, status codes, protocols, and networks etc.  Being able to solve complex indexing and crawlability issues.  Basic understanding of HTML and Javascript 
Understanding of responsive development, mobile SEO and its key factors.  Full understanding of URL structures.",Senior SEO Consultant,https://leeds.tech/job/senior-seo-consultant/
182,,"['integration', 'drupal', 'linux', 'git', 'symfony']",182,[],"Knowledge, skills and experience required:  Experience of building complex Drupal sites, and a keen willingness to learn more.  Any knowledge of frameworks like Symfony and the object-oriented principles behind them.  Good working knowledge of git.  Have a good awareness of web application security.  Any experience of integration of external APIs.  Basic Linux/Apache admin skills.  Awareness of how to write testable, reusable components.",Drupal Developer,https://leeds.tech/job/drupal-developer-2/
183,,"['windows', 'linux', '.net|dotnet|dotnetcore']",183,"['communication', 'initiative', 'organisational']",Experience in Linux environment and system administration (Linux) – experience in Windows is also desirable.  Knowledge of computer networking.  Good organisational skills.  Ability to work both in a team and on their own initiative.  Excellent communication skills (both verbal and written) with the ability to write and present documentation of projects and systems.,Technical Operations Engineer,https://leeds.tech/job/technical-operations-engineer-3/
